datetime,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: VWC,Model: Grass,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,Model: PPFD_Avg+VWC,Model: PPFD_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Grass,Model: PPFD_Avg+Sedge+Grass,Model: PPFD_Avg+VWC+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge+Grass,Model: PPFD_Avg+AirTC_Avg+VWC+Grass,BestModel: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass
2016-07-11 03:00:00,1.4279622,1.8190416,-3.1892905,-1.6238843,-1.8334812,-1.9808134,1.5734633,1.5422078,1.232642,2.181058,1.9148351,1.7643973,1.5640942,1.5272206,1.3699445,1.4276596
2016-07-11 03:30:00,1.4974846,1.7738248,-3.1354423,-1.6168255,-1.8334812,-1.9709041,1.5477854,1.4895576,1.1986746,2.083124,1.9091724,1.6185888,1.5043944,1.5776516,1.3270313,1.4978031
2016-07-11 04:00:00,1.2760242,1.7255965,-3.1112235,-1.6166072,-1.8334812,-1.9913967,1.5151423,1.4476455,1.162546,2.0652084,1.8486959,1.7180091,1.515726,1.3697213,1.3050832,1.2756656
2016-07-11 04:30:00,1.1929973,1.5805115,-3.0956542,-1.6165876,-1.8334812,-1.9912298,1.4078921,1.3227907,1.0515586,1.9500176,1.735066,1.5892729,1.3978692,1.2620825,1.1867467,1.1926252
2016-07-11 05:00:00,0.52820504,1.1362795,-3.0844097,-1.6165739,-1.8334812,-1.7463642,1.0732735,0.94059074,0.71131647,1.1575698,1.1805259,1.1855985,1.0191144,0.80193555,0.5363463,0.5270406
2016-07-11 05:30:00,0.20040023,1.087303,-3.0727332,-1.6165739,-1.8334812,-1.5019044,1.037942,0.89845645,0.67380536,0.9018904,1.0337037,1.0217875,0.8534044,0.74887264,0.24312007,0.20017302
2016-07-11 06:00:00,0.3544296,0.6144277,-3.0636508,-1.6165781,-1.8334812,-1.8701841,0.66993725,0.49164903,0.32068646,0.91062963,0.8665174,0.7382995,0.66380775,0.42715204,0.3057021,0.35383952
2016-07-11 06:30:00,0.4227928,0.035477765,-3.121603,-1.6166987,-1.8334812,-1.970317,0.17851806,-0.006189698,-0.081100814,0.6562778,0.48530734,0.09457827,0.19213092,0.3166672,-0.13116872,0.423694
2016-07-11 07:00:00,-0.21829641,-1.0283135,-3.0610561,-1.6168013,-1.8334812,-1.9706044,-0.6499592,-0.9628232,-0.7860261,-0.3111874,-0.3397646,-0.90839547,-0.5700879,-0.36160576,-0.99617076,-0.21708405
2016-07-11 07:30:00,-1.5603968,-2.9722075,-3.1133857,-1.6169038,-1.8334812,-1.9708918,-2.2706947,-2.7712035,-2.0410311,-2.5912259,-1.9566715,-2.8459396,-1.9348707,-1.7583691,-2.5841458,-1.5594121
2016-07-11 08:00:00,-2.0461533,-3.4225984,-3.205912,-1.6170062,-1.8334812,-1.9711792,-2.8513138,-3.2496576,-2.5942342,-3.4077713,-2.565311,-3.3193324,-2.5450966,-2.2616897,-3.1022425,-2.0449011
2016-07-11 08:30:00,-1.4692639,-2.9058738,-3.012186,-1.6171087,-1.8334812,-1.9714668,-2.2150934,-2.7110782,-1.9845818,-2.4967668,-1.89222,-2.7843878,-1.883227,-1.6863537,-2.4807787,-1.4683038
2016-07-11 09:00:00,-0.18265438,-1.1029397,-2.663177,-1.6172112,-1.8334812,-1.9716983,-0.7268052,-1.0329942,-0.83675003,-0.4179573,-0.39420712,-1.0068506,-0.6456362,-0.3980205,-0.9378666,-0.1817671
2016-07-11 09:30:00,-1.5765135,-3.1843612,-2.5772681,-1.6173136,-1.8334812,-1.9719096,-2.5755985,-2.952806,-2.2283583,-2.9297838,-2.3086982,-3.0346107,-2.176387,-1.9379697,-2.4031556,-1.5755357
2016-07-11 10:00:00,-1.5513252,-3.17113,-2.5463662,-1.6174161,-1.8334812,-1.972121,-2.5655742,-2.940958,-2.2160087,-2.9099524,-2.2976327,-3.0236206,-2.1661792,-1.9183781,-2.3698223,-1.5503621
2016-07-11 10:30:00,-1.388301,-2.9572344,-2.4802103,-1.6172373,-1.8334812,-1.9715104,-2.3473597,-2.757633,-2.0282893,-2.5737762,-2.048112,-2.8319745,-1.9318333,-1.7455872,-2.1152043,-1.3873657
2016-07-11 11:00:00,-1.717621,-3.3208656,-2.3914218,-1.6167997,-1.8334812,-1.9790444,-2.7837634,-3.1082625,-2.407374,-3.1710718,-2.6116433,-3.1689217,-2.2934983,-2.2891116,-2.2876015,-1.716847
2016-07-11 11:30:00,-1.1293039,-2.5131156,-2.2643325,-1.6180822,-1.8334812,-1.9805982,-1.8575504,-2.2745254,-1.6552742,-1.8619473,-1.6984073,-2.3270338,-1.4015303,-1.5599436,-1.5401512,-1.128722
2016-07-11 12:00:00,-1.5456772,-2.761086,-2.1471574,-1.6165841,-1.8334812,-1.8248197,-2.1515634,-2.5570498,-1.8590899,-2.1400428,-2.2253554,-2.4949832,-1.680589,-1.9737465,-1.6240982,-1.5452822
2016-07-11 12:30:00,-1.2029322,-1.9983895,-1.9961126,-1.6165743,-1.8334812,-1.7104591,-1.4200116,-1.8229132,-1.3349091,-1.3945155,-1.4528501,-1.7359152,-1.1262795,-1.5084239,-1.1199355,-1.2025601
2016-07-11 13:00:00,-1.3571255,-1.9367528,-1.9253274,-1.6165739,-1.8334812,-1.5844779,-1.3736364,-1.7687522,-1.2998941,-1.3589442,-1.4840063,-1.614092,-1.2071164,-1.5321443,-1.1236982,-1.3573693
2016-07-11 13:30:00,-2.3328955,-3.3698132,-1.9087511,-1.6165739,-1.8334812,-1.6174718,-2.9444747,-3.1781328,-2.493881,-2.7678301,-2.9478197,-3.0434701,-2.495067,-2.8681245,-2.0397613,-2.3333676
2016-07-11 14:00:00,-2.6651692,-3.5584774,-1.9387677,-1.6165739,-1.8334812,-1.5985898,-3.3105028,-3.4244208,-2.8802135,-3.1550303,-3.2202325,-3.3384423,-2.863803,-3.1632736,-2.2941012,-2.665805
2016-07-11 14:30:00,-2.5739336,-3.414852,-1.9208474,-1.6165739,-1.8334812,-1.5185107,-3.024135,-3.2388353,-2.5785275,-2.7960134,-3.001553,-3.0540009,-2.637995,-2.999762,-2.1231656,-2.5748816
2016-07-11 15:00:00,-1.6787119,-2.7082403,-1.818276,-1.616574,-1.8334812,-1.6447781,-2.1113446,-2.4996614,-1.813012,-2.0075111,-2.2133496,-2.3362863,-1.7483994,-2.1555312,-1.4883283,-1.6787562
2016-07-11 15:30:00,-2.155188,-3.312057,-1.740473,-1.6165742,-1.8334812,-1.6562837,-2.8812194,-3.0956414,-2.3928947,-2.6913116,-2.8768854,-2.9798472,-2.378486,-2.7792954,-1.8960239,-2.1556234
2016-07-11 16:00:00,-2.0690491,-3.1898878,-1.7113539,-1.6165742,-1.8334812,-1.6196728,-2.7092972,-2.9576313,-2.2340622,-2.4903135,-2.7019815,-2.8140812,-2.2405584,-2.6727664,-1.7847761,-2.0695097
2016-07-11 16:30:00,-1.98291,-3.0330377,-1.6822345,-1.616574,-1.8334812,-1.5830617,-2.5245852,-2.8192844,-2.0904179,-2.3085542,-2.5139768,-2.6483152,-2.1068022,-2.5296319,-1.6785783,-1.983396
2016-07-11 17:00:00,-1.89947,-2.8628485,-1.6531153,-1.6165739,-1.8334812,-1.5464507,-2.3313935,-2.6670372,-1.9473935,-2.1259081,-2.3239257,-2.4536366,-1.9754473,-2.3715742,-1.5764774,-1.9002467
