,Key,Level,MSE,Model,R2
0,5_0,5,62.3858733276277,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.6106145358607595
1,5_0,5,80.97580178514603,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.326575724642142
2,5_0,5,87.56800497567907,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.3151622286468494
3,1_0,1,157.48927873902778,PPFD_Avg,0.017020478711595288
4,1_0,1,119.12047753386902,PPFD_Avg,0.009350701134486217
5,1_0,1,128.7138886744328,PPFD_Avg,-0.00662488184443788
6,1_1,1,145.11316243707086,AirTC_Avg,0.0942668092257275
7,1_1,1,115.60988120105091,AirTC_Avg,0.03854609950515908
8,1_1,1,127.42991018582188,AirTC_Avg,0.003416650640513774
9,1_2,1,131.09396387683017,Sedge,0.1817685439465272
10,1_2,1,109.87046367288544,Sedge,0.08627718712237398
11,1_2,1,117.57134301632827,Sedge,0.08051694738664272
12,1_3,1,136.9256636731586,VWC,0.14536961241296087
13,1_3,1,118.03646874362414,VWC,0.018365713248711613
14,1_3,1,117.89820558116595,VWC,0.07796067320288813
15,1_4,1,159.77449371346785,Grass,0.0027571616172391566
16,1_4,1,114.6839629985694,Grass,0.04624637268307963
17,1_4,1,119.49817558736447,Grass,0.06544788507232369
18,2_0,2,115.78676274619993,PPFD_Avg+Sedge,0.27730943003176833
19,2_0,2,112.93951679196002,PPFD_Avg+Sedge,0.06075382301625032
20,2_0,2,107.54814048606484,PPFD_Avg+Sedge,0.1589047978869862
21,2_1,2,131.38961551359603,AirTC_Avg+Sedge,0.1799232151298411
22,2_1,2,116.67204907269719,AirTC_Avg+Sedge,0.029712724428865633
23,2_1,2,108.6627450587845,AirTC_Avg+Sedge,0.15018787768612785
24,2_2,2,72.96411340402749,Sedge+VWC,0.5445897661137097
25,2_2,2,88.11273394792724,Sedge+VWC,0.26722239606687925
26,2_2,2,79.00010733617093,Sedge+VWC,0.3821686646876423
27,2_3,2,126.68493524706071,Sedge+Grass,0.2092877813609001
28,2_3,2,102.90394419607703,Sedge+Grass,0.14421330170242963
29,2_3,2,119.02781684491653,Sedge+Grass,0.06912639108606677
30,3_0,3,82.40766852458101,PPFD_Avg+Sedge+VWC,0.4856472059217569
31,3_0,3,95.67350499530362,PPFD_Avg+Sedge+VWC,0.204344268879751
32,3_0,3,78.49318142154091,PPFD_Avg+Sedge+VWC,0.3861331493611575
33,3_1,3,97.47511276731642,AirTC_Avg+Sedge+VWC,0.3916027779622717
34,3_1,3,93.75901768261438,AirTC_Avg+Sedge+VWC,0.22026584301433472
35,3_1,3,64.72571893409298,AirTC_Avg+Sedge+VWC,0.4938035060138023
36,3_2,3,75.664839091356,Sedge+VWC+Grass,0.527733012025321
37,3_2,3,82.88419917549183,Sedge+VWC+Grass,0.31070479652094385
38,3_2,3,77.99308752224825,Sedge+VWC+Grass,0.3900442033077903
39,4_0,4,72.9446221834916,PPFD_Avg+Sedge+VWC+Grass,0.5447114218275785
40,4_0,4,89.47887479233323,PPFD_Avg+Sedge+VWC+Grass,0.2558610709808752
41,4_0,4,86.21787611287984,PPFD_Avg+Sedge+VWC+Grass,0.3257210993404982
42,4_1,4,65.51826691891551,AirTC_Avg+Sedge+VWC+Grass,0.5910634986250551
43,4_1,4,90.54241479665367,AirTC_Avg+Sedge+VWC+Grass,0.24701628474925597
44,4_1,4,80.93951185202965,AirTC_Avg+Sedge+VWC+Grass,0.3670012817289714
45,0_5,0,72.96442856545167,Sedge+VWC,0.5445877990132927
46,0_5,0,88.10544300248948,Sedge+VWC,0.2672830302259719
47,0_5,0,79.00347548905155,Sedge+VWC,0.38214232357923195
48,0_5,0,72.96442856545167,Sedge+VWC,0.5445877990132927
49,0_5,0,88.10544300248948,Sedge+VWC,0.2672830302259719
50,0_5,0,79.00347548905155,Sedge+VWC,0.38214232357923195
